,song_name,song_popularity,date_added_to_playlist,song_duration_ms,artist_name,album_names,album_release_date,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
30,Confession,37,2018-10-05T07:44:45Z,212703,Kofi Kinaata,Confession,2017-11-07,0.242,0.883,0.523,4.84e-05,7,0.167,-5.954,1,0.0852,105.031,4,0.732
31,Leg Over,65,2018-10-05T07:44:45Z,197972,Mr Eazi,"Life Is Eazi, Vol. 1 - Accra To Lagos",2017-02-10,0.58,0.601,0.681,0.0,9,0.0934,-5.171,1,0.324,98.078,4,0.546
32,Been Calling,60,2018-10-05T07:44:45Z,196800,Maleek Berry,Been Calling,2017-06-29,0.201,0.743,0.7,0.0,5,0.252,-6.108,1,0.0707,125.048,5,0.678
33,Science Student,51,2018-10-05T07:44:45Z,203363,Olamide,Science Student,2018-01-11,0.562,0.789,0.864,0.0,2,0.0759,-2.848,1,0.344,124.166,4,0.814
34,Million Pound Girl (Badder Than Bad) - Edit,54,2018-10-05T07:44:45Z,246601,Fuse ODG,Million Pound Girl (Badder than Bad),2013-12-29,0.0808,0.605,0.938,0.0,1,0.0569,-1.197,1,0.076,199.887,4,0.734
35,Sunrise,36,2018-10-05T07:44:45Z,203242,Jillionaire,Sunrise,2017-02-09,0.0154,0.684,0.852,6.51e-05,11,0.251,-5.411,1,0.141,107.9,4,0.687
36,Tonight,46,2018-10-05T07:44:45Z,250000,Burna Boy,L.I.F.E - Leaving an Impact for Eternity (Deluxe Edition),2013-08-12,0.0359,0.796,0.676,6.26e-06,5,0.0549,-6.51,0,0.0525,112.019,4,0.733
37,Take Over,56,2018-10-05T07:44:45Z,216635,Da Beatfreakz,Take Over,2018-04-06,0.0349,0.807,0.584,5.51e-06,0,0.0782,-4.987,1,0.0571,105.072,4,0.854
38,Maga 2 Mugu,41,2018-10-05T07:44:45Z,226506,DaVido,Son of Mercy - EP,2016-10-14,0.43,0.429,0.922,3.45e-06,1,0.157,-4.176,0,0.35,213.226,4,0.93
39,Prayer,37,2018-10-05T07:44:45Z,216111,DMW,Prayer,2017-01-17,0.14,0.728,0.823,0.000167,1,0.318,-6.015,0,0.0405,119.931,4,0.795
